Country,Continent,Rank,Title,Artists,Album,Explicit,Duration,Popularity
Australia,Australia,36,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35,90
Australia,Australia,37,Live In Life,The Rubens,Live In Life,0,3:36,12
Australia,Australia,38,Say So,Doja Cat,Hot Pink,1,3:57,34
Australia,Australia,39,Ride It,Regard,Ride It,0,2:37,45
Australia,Australia,40,Righteous,Juice WRLD,Righteous,1,4:03,46
Australia,Australia,41,You should be sad,Halsey,Manic,1,3:25,78
Australia,Australia,42,ROXANNE,Arizona Zervas,ROXANNE,1,2:43,23
Australia,Australia,43,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,0,2:48,89
Australia,Australia,44,Falling,Trevor Daniel,Nicotine,0,2:39,12
Australia,Australia,45,Bad Child,Tones And I,Bad Child/Can't Be Happy All The Time,1,3:41,56
Australia,Australia,46,Life Is Good (feat. Drake),"Future, Drake",High Off Life,1,3:57,34
Australia,Australia,47,Memories,Maroon 5,Memories,0,3:09,88
Australia,Australia,48,Know Your Worth,"Khalid, Disclosure",Know Your Worth,0,3:01,33
Australia,Australia,49,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,0,3:19,76
Australia,Australia,50,Go Crazy,"Chris Brown, Young Thug",Slime & B,1,2:56,89
Austria,Europe,1,Roadrunner,Bonez MC,Roadrunner,0,2:29,23
Austria,Europe,2,Komm Komm,Capital Bra,Komm Komm,0,2:40,43
Austria,Europe,3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,10
Austria,Europe,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,98
Austria,Europe,5,GOOBA,6ix9ine,GOOBA,1,2:12,65
Austria,Europe,6,Fame,Apache 207,Fame,0,2:53,23
Austria,Europe,7,Blinding Lights,The Weeknd,After Hours,0,3:20,50
Austria,Europe,8,Nicht verdient,"Capital Bra, Loredana",Nicht verdient,0,2:56,23
Austria,Europe,9,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56,76
Austria,Europe,10,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07,18
